SourceKey,Source,Dataset,Source_File,Source_Type,Source_Year
58,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2025_Data_fig_6.3.2.csv,csv,2025
59,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2025_Data_fig_6.3.1.csv,csv,2025
60,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2025_Data_fig_6.3.4.csv,csv,2025
61,Stanford AI Index,Stanford AI Index - Education,6. Education-2025_Data_fig_7.3.4.csv,csv,2025
62,Stanford AI Index,Stanford AI Index - Education,6. Education-2025_Data_fig_7.3.5.csv,csv,2025
63,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.2.18.csv,csv,2025
64,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.5.7.csv,csv,2025
65,Stanford AI Index,Stanford AI Index - Education,6. Education-2025_Data_fig_7.3.9.csv,csv,2025
66,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.5.4.csv,csv,2025
67,Stanford AI Index,Stanford AI Index - Education,6. Education-2025_Data_fig_7.3.12.csv,csv,2025
68,Stanford AI Index,Stanford AI Index - Education,6. Education-2025_Data_fig_7.3.10.csv,csv,2025
69,Stanford AI Index,Stanford AI Index - Policy and GoverGeneralce,7. Policy and Governance-2025_Data_fig_6.2.16.csv,csv,2025
70,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.3.13.csv,csv,2025
71,Stanford AI Index,Stanford AI Index - Research and Development,1. Research and Development-2024_Data_fig_1.2.6.csv,csv,2024
72,Stanford AI Index,Stanford AI Index - Economy,4. Economy-2025_Data_fig_4.3.9.csv,csv,2025
73,Stanford AI Index,Stanford AI Index - Public Opinion,8. Public Opinion-2025_Data_fig_8.1.3.csv,csv,2025
74,Stanford AI Index,Stanford AI Index - Public Opinion,8. Public Opinion-2025_Data_fig_8.1.6.csv,csv,2025
